name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
"Desert Squad Tourism","hadi plaza building, Office no: 101, floor - 1 - Deira - Dubai - United Arab Emirates","+971 55 298 8128","desertsquad22@gmail.com",25.2652834,55.3218993,"https://desertsquadtourism.com/","United Arab Emirates","Dubai","Dubai",5,21,"","Tourist attractions","Tourist attractions,Sightseeing Tour Operators,Sightseeing tour agencies"
"Dubai Miracle Garden","Street 3 - Al Barsha - Al Barsha South - Dubai - United Arab Emirates","+971 4 422 8902","support@the-miracle-garden.com",25.0600069,55.2444647,"https://www.dubaimiraclegarden.com/","United Arab Emirates","Dubai","Dubai",4.6,74297,"","Tourist attractions","Parks,Tourist attractions,Gardens"
"La Mer","45 2A St - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates","+971 4 590 5090","info@j1beach.com",25.2284705,55.2589653,"http://www.j1beach.com/","United Arab Emirates","Dubai","Dubai",4.6,21416,"","Tourist attractions","Tourist attractions"
"Dubai Access","Dubai - United Arab Emirates","+971 58 501 0213","contact@dubai-access.com",25.2048493,55.2707828,"https://dubai-access.com/","United Arab Emirates","Dubai","Dubai",5,8,"","Tourist attractions","Tourist attractions"
"Desert safari tourism","Business Bay - Dubai mall - Dubai - United Arab Emirates","+971 55 568 6579","desertsafaritourism@outlook.com",25.179696,55.2673064,"https://desertsafaristourism.com/","United Arab Emirates","Dubai","Dubai",4.9,18,"","Tourist attractions","Tourist attractions"
"ARABIAN FUN TOUR","Downtown Dubai - Dubai - United Arab Emirates","+971 52 453 2996","sales@arabianfuntour.com",25.2008886,55.2754177,"https://arabianfuntour.com/","United Arab Emirates","Dubai","Dubai",0,0,"","Tourist attractions","Tourist attractions"
"Oyeah Dubai","Jumeirah St - Umm Suqeim - Jumeirah 3 - Dubai - United Arab Emirates","+971 52 881 1986","oyeahdubai@gmail.com",25.1562764,55.2045997,"https://www.oyeahdubai.com/","United Arab Emirates","Dubai","Dubai",4.8,12,"","Tourist attractions","Tourist attractions"
"Mermaids of Arabia","Dubai Mall on Financial Center Street - Dubai - United Arab Emirates","+971 52 509 5256","info@mermaidsofarabia.com",25.1987531,55.2796295,"http://mermaidsofarabia.com/","United Arab Emirates","Dubai","Dubai",4.7,350,"","Tourist attractions","Children's amusement centers,Theme parks,Tourist attractions"
"Xtreme Wake Dubai Marina","Dubai Marina - Dubai - United Arab Emirates","+971 56 342 3012","info@xtremewakeuae.com",25.0689372,55.1313832,"http://www.xtremewakeuae.com/","United Arab Emirates","Dubai","Dubai",4.3,94,"","Tourist attractions","Surf schools,Tourist attractions"
"Dubai Harbour","Dubai Marina - Dubai - United Arab Emirates","+971 4 208 9222","info@dubaiharbour.com",25.0922804,55.1418394,"https://www.dubaiharbour.com/?utm_source=google&utm_campaign=local_search&utm_medium=organic&utm_content=","United Arab Emirates","Dubai","Dubai",4.7,3797,"","Tourist attractions","Tourist attractions"
"Evening Desert Safari Dubai Deals","Ubora Towers - Tower - Dubai - United Arab Emirates","+971 50 603 7976","info@realdesertsafari.com",25.1800487,55.2702963,"http://www.realdesertsafari.com/","United Arab Emirates","Dubai","Dubai",0,0,"","Tourist attractions","Tourist attractions"
"Dubai Dino","57WH+QRV - Downtown Dubai - Dubai - United Arab Emirates","+971 800 382246255","enquiry@thedubaimall.com",25.1969801,55.2795411,"https://www.thedubaimall.com/","United Arab Emirates","Dubai","Dubai",4.6,454,"","Tourist attractions","Tourist attractions"
"Badshah Tourism LLC , Dubai","Business Bay - Dubai - United Arab Emirates","+971 54 523 6969","info@badshahtourism.ae",25.1831647,55.272887,"https://badshahtourism.ae/","United Arab Emirates","Dubai","Dubai",4.9,27,"","Tourist attractions","Tourist attractions"
"Maha Balloons Dubai","Building 52 A 26B St - Deira - Dubai - United Arab Emirates","+971 50 417 9392","fly@mahab.net",25.2636704,55.325009,"https://mahab.net/","United Arab Emirates","Dubai","Dubai",3.7,9,"","Tourist attractions","Tourist attractions"
"Dubai Safaris Tour","Al Rolla Rd - Bur Dubai - Dubai - United Arab Emirates","+971 54 333 0496","info@dubaisafaristour.com",25.2575588,55.2857919,"http://www.dubaisafaristour.com/","United Arab Emirates","Dubai","Dubai",4.6,100,"","Tourist attractions","Travel agencies,Tourist attractions,Sightseeing Tour Operators,Sightseeing tour agencies,Tour operators,Tour agencies"
"RED Desert Safari","57P7+9H9 - Marasi Dr - Business Bay - Dubai - United Arab Emirates","+971 50 960 6567","info@reddesertsafari.com",25.1859028,55.263997,"https://reddesertsafari.com/","United Arab Emirates","Dubai","Dubai",4.8,13,"","Tourist attractions","Tourist attractions"
"Desert Thrill Tourism Dubai","Arbana 1, Block 2, 102 - South Ammar - Dubai - United Arab Emirates","+971 54 483 3877","mehmood.desertthrill@gmail.com",25.2048493,55.2707828,"https://dubaidesertsafarithrill.com/","United Arab Emirates","Dubai","Dubai",4.9,110,"","Tourist attractions","Tourist attractions"
"Sky Musandam Tourism","Alphamed Building ,Office 304 ,Next to Max Showroom Abuhail Centre - Dubai - United Arab Emirates","+971 52 565 1983","musandamtourpackage@gmail.com",25.2796458,55.3450546,"https://musandamtourpackage.com/","United Arab Emirates","Dubai","Dubai",4.3,57,"","Tourist attractions","Tourist attractions"
"Desert Safari Dubai","4JVV+C6J - Dubai - United Arab Emirates","+971 58 804 8546","shasratjan@yahoo.com",25.1435773,55.6430031,"https://desertsafaridubaibook.com/","United Arab Emirates","Dubai","Dubai",4.2,85,"","Tourist attractions","Tourist attractions"
